,index,Date,Open,Close,High,Low,Volume,sma7,sma25,sma99,bb_sma,bb_ub,bb_lb,psar,RSI,twap
36038,36138,2020-01-12 09:00:00,8117.8,8118.8,8142.9,8106.5,0.09666836271,8088.304831571428,8085.542551471599,8012.804120632425,8092.176618869,8169.097948947053,8015.255288790947,7951.7,56.656946452040266,8114.4
36039,36139,2020-01-12 10:00:00,8118.8,8109.7,8118.8,8086.1,0.07673381026,8092.833403,8085.6892950952,8010.831393359697,8095.436618869001,8169.471626810324,8021.401610927678,7955.523999999999,55.03119647470106,8113.799999999999
36040,36140,2020-01-12 11:00:00,8109.70100769,8098.5,8112.7,8097.5,0.06387551356,8097.719117285715,8087.9252950952,8008.665003489394,8095.981618869,8169.938286199286,8022.024951538714,7959.271519999999,53.014875571682644,8103.883333333333
36041,36141,2020-01-12 12:00:00,8098.6,8125.4,8132.1,8098.58101289,0.13622022495,8103.819117285713,8091.6772950952,8006.902098546161,8094.826618869,8166.140745807165,8023.5124919308355,7962.9440896,57.082185238143374,8110.796835481667
36042,36142,2020-01-12 13:00:00,8125.4,8151.2,8151.2,8113.3,0.14724115889,8114.604831571429,8096.2012950952,8005.068765212829,8095.061618869001,8167.082780741598,8023.040456996404,7966.543207807999,60.60462969677423,8128.630168815
36043,36143,2020-01-12 14:00:00,8150.3,8117.1,8170.52737925,8108.3,0.28398262903,8119.728571428571,8097.8172950952,8002.866745010809,8093.416618869,8161.751943275895,8025.081294462104,7973.9294794956795,54.26523754510571,8135.271229875
36044,36144,2020-01-12 15:00:00,8117.168556,8137.9,8150.4,8117.168556,0.12670789622,8122.657142857142,8101.5532950952,8001.446431896163,8093.191618869001,8160.90715605036,8025.476081687642,7985.725353480939,57.205736387824984,8133.565989208333
36045,36145,2020-01-12 16:00:00,8137.9,8086.5,8155.1,8086.5,0.20104991867000002,8118.042857142857,8101.5092950952,7998.510006262526,8090.2916188690015,8153.806967671651,8026.776270066352,7996.813475027083,48.847717835668135,8122.261425999999
36046,36146,2020-01-12 17:00:00,8086.57141851,8082.87593808,8171.5,8057.0,0.39646424822,8114.210848297143,8098.884332618401,7996.3441066471705,8089.885415773,8153.481308983562,8026.289522562439,8007.236309280458,48.311756144860674,8106.579323013333
36047,36147,2020-01-12 18:00:00,8082.8,8103.5,8111.8,8069.0,0.07522942088000001,8114.925134011428,8097.1643326184,7994.403458676161,8091.820415773,8154.595223594945,8029.045607951054,8020.377404538021,51.568479383188944,8099.279323013334
36048,36148,2020-01-12 19:00:00,8103.51078618,8110.7,8137.61215905,8103.2,0.24170568241,8112.825134011429,8095.592332618401,7994.388307161011,8096.670415773001,8148.606091036612,8044.73474050939,8032.46721217498,52.68918735179944,8105.968693175
36049,36149,2020-01-12 20:00:00,8110.7,8124.4,8130.6,8110.7,0.05638787102,8108.996562582856,8094.8723326184,7994.755983928688,8099.880415773,8150.31716515314,8049.44366639286,8043.589835200982,54.83098166533182,8119.535359841666
36050,36150,2020-01-12 21:00:00,8124.4,8099.2,8132.0,8099.2,0.07662009557,8106.439419725714,8093.0603326184,7995.273155645859,8102.290487954,8147.488245132258,8057.092730775742,8053.822648384903,50.3185548636632,8116.016666666666
36051,36151,2020-01-12 22:00:00,8099.2,8148.1,8159.6,8099.2,0.12855304068,8107.896562582857,8095.344332618399,7997.011539484242,8105.660487954,8153.867148268766,8057.453827639234,8063.236836514111,57.60895367845592,8122.883333333334
36052,36152,2020-01-12 23:00:00,8148.6,8174.7,8174.7,8139.1,0.0992999681,8120.496562582856,8099.7403326184,7998.258004130707,8110.495487954,8165.546768816846,8055.444207091154,8071.897889592982,60.96457851697549,8149.233333333334
36053,36153,2020-01-13 00:00:00,8174.6670523,8140.93758352,8199.7,8135.7878412,0.2586806862,8128.791083360001,8104.829835959199,7999.607878711718,8114.32736713,8166.58107463089,8062.073659629111,8082.178100633684,55.01214673935568,8160.82090412
36054,36154,2020-01-13 01:00:00,8141.0,8146.6159607,8155.10252499,8134.3,0.07660460931,8134.950506317144,8108.2864743872,8000.409558151616,8117.523165165,8169.465922426194,8065.580407903806,8096.280728557642,55.79390839918622,8152.073985068333
36055,36155,2020-01-13 02:00:00,8146.96504596,8117.7,8147.0,8117.7,0.06417677117,8135.950506317143,8110.954532132,8001.226729868789,8119.623165165,8167.899255076282,8071.347075253717,8108.691041130725,50.939545542843284,8136.403080948334
36056,36156,2020-01-13 03:00:00,8117.7,8100.3,8117.7,8091.0,0.13560297314,8132.507649174287,8111.738532132,8002.671174313232,8120.576474115,8166.477174094632,8074.675774135368,8199.7,48.22075492801364,8115.233333333334
36057,36157,2020-01-13 04:00:00,8100.1,8112.8,8113.9,8091.0,0.02755032836,8134.450506317143,8113.130532132001,8003.860063202122,8120.346474114999,8166.354510054299,8074.3384381757,8197.526,50.27404032086344,8104.449999999999
36058,36158,2020-01-13 05:00:00,8112.8689383,8083.9791942,8112.9,8071.9,0.07275900449,8125.290391202857,8113.917699899999,8004.880055062728,8118.605433825001,8167.274232650046,8069.9366349999555,8195.39548,45.76761031683078,8097.746532366666
36059,36159,2020-01-13 06:00:00,8083.9791942,8055.1,8102.5,8054.43959882,0.08174504883,8108.204676917143,8112.813699900001,8005.897226779899,8115.875433825,8171.817967319758,8059.932900330242,8190.455660799999,41.73104710182266,8080.136465503333
36060,36160,2020-01-13 07:00:00,8055.0,8067.3,8075.5,8054.4,0.04221371079,8097.685022128571,8112.4776999,8006.877024759696,8114.315433825,8173.740732040061,8054.890135609939,8182.294697081199,43.978883623455175,8068.206599803334
36061,36161,2020-01-13 08:00:00,8067.2,8114.9531544,8115.0,8058.6,0.08075044171000001,8093.161764085714,8113.826473236,8008.613925309192,8113.793091545,8173.002740405367,8054.583442684632,8172.0631213147035,51.800345630426534,8080.958859066666
36062,36162,2020-01-13 09:00:00,8114.9531544,8098.99626055,8119.9,8080.9,0.13269793393,8090.489801307143,8113.090323658,8010.4916653147475,8111.1829045725,8168.125543214474,8054.240265930525,8162.650071609527,49.31734268798109,8098.058235824999
